Airplane.damage.,Airplane.fate.,DateCrash,YearCrash,First.flight.,AccidentCountry,Nature,Operator,Phase,Departcountry,Destcountry,Type,Total.airframe.hrs.,Status.,FatalCrew,FatalPass,OccupantsCrew,OccupantsPass,FatalTotal,OccupantsTotal
Damaged beyond repair,NA,Wednesday 13 January 1960,1960,1941,United States of America,Executive,Utah Construction & Mining Co.,En route (ENR),United States of America,United States of America,Lockheed 18 Learstar,NA,,0,2,2,4,2,6
Damaged beyond repair,NA,Friday 15 January 1960,1960,1956,Algeria,Military,L'Armée de L'Air,Unknown (UNK),?,?,Nord 2501F Noratlas,NA,,,,,,,
Destroyed,Written off (damaged beyond repair),Monday 18 January 1960,1960,1957,United States of America,Domestic Scheduled Passenger,Capital Airlines,En route (ENR),United States of America,United States of America,Vickers 745D Viscount,9247,Final,4,46,4,46,50,50
Damaged beyond repair,NA,Tuesday 19 January 1960,1960,1959,Turkey,Domestic Scheduled Passenger,Scandinavian Airlines System - SAS,Approach (APR),Turkey,Turkey,Sud Aviation SE-210 Caravelle I,NA,,7,35,7,35,42,42
Damaged beyond repair,NA,Wednesday 20 January 1960,1960,,Italy,Military,Aeronautica Militare Italiana - AMI,En route (ENR),?,?,Douglas C-47 (DC-3),NA,,,,,,5,5
Damaged beyond repair,NA,Thursday 21 January 1960,1960,1954,Jamaica,International Scheduled Passenger,Avianca,Landing (LDG),United States of America,Jamaica,Lockheed L-1049E-55 Super Constellation,NA,,2,35,7,39,37,46
Substantial,Repaired,Friday 22 January 1960,1960,1959,Australia,Private,Associated Airlines of Australia,Landing (LDG),?,Australia,Fokker F-27 Friendship 200,NA,,0,0,2,6,0,8
Damaged beyond repair,NA,Tuesday 26 January 1960,1960,1959,Australia,Int'l Non Scheduled Passenger,Transportes Aéreos de Timor,En route (ENR),Australia,East Timor,de Havilland DH-114 Heron 2D,NA,,2,7,2,7,9,9
Damaged beyond repair,NA,Tuesday 26 January 1960,1960,,Brazil,Unknown,Cruzeiro do Sul,Taxi (TXI),?,?,Fairchild C-82A-FA Packet,NA,,0,0,,,0,
Damaged beyond repair,NA,Tuesday 26 January 1960,1960,,Brazil,-,ALAS Guaranies,Standing (STD),-,-,Consolidated P4Y-2 Privateer,NA,,0,0,0,0,0,0
Damaged beyond repair,NA,Friday 29 January 1960,1960,,Canada,Domestic Scheduled Passenger,Pacific Western Airlines,Landing (LDG),Canada,Canada,Curtiss C-46C Commando,NA,,0,0,3,48,0,51
Minor,Repaired,Friday 29 January 1960,1960,1942,India,Ferry/positioning,Pakistan International Airlines - PIA,Approach (APR),Bangladesh,India,Douglas R4D-1 (DC-3),NA,Final,0,0,3,0,0,3
Destroyed,Written off (damaged beyond repair),Wednesday 3 February 1960,1960,1958-03-14  (1 year 11 months),United States of America,Military,United States Air Force - USAF,Takeoff (TOF),United States of America,United States of America,Boeing KC-135A-BN Stratotanker,NA,,6,0,6,0,6,6
Damaged beyond repair,NA,Wednesday 3 February 1960,1960,1958-08-06  (1 year 6 months),United States of America,Military,United States Air Force - USAF,Standing (STD),-,-,Boeing KC-135A-BN Stratotanker,NA,,0,0,0,0,0,0
Damaged beyond repair,NA,Wednesday 3 February 1960,1960,1958-08-19  (1 year 6 months),United States of America,Military,United States Air Force - USAF,Standing (STD),-,-,Boeing KC-135A-BN Stratotanker,NA,,0,0,0,0,0,0
Destroyed,Written off (damaged beyond repair),Friday 5 February 1960,1960,1945,Bolivia,Domestic Scheduled Passenger,Lloyd Aéreo Boliviano - LAB,En route (ENR),Bolivia,Bolivia,Douglas DC-4,NA,,4,55,4,55,59,59
Damaged beyond repair,NA,Wednesday 17 February 1960,1960,1944,Vietnam,Military,United States Navy,En route (ENR),Vietnam,Vietnam,Douglas R4D-5 (DC-3),NA,,3,0,3,0,3,3
Damaged beyond repair,NA,Wednesday 17 February 1960,1960,,United States of America,Military,United States Air Force - USAF,En route (ENR),United States of America,United States of America,Fairchild C-119 Flying Boxcar,NA,,0,0,4,0,0,4
Substantial,Repaired,Wednesday 17 February 1960,1960,1946-07-27  (13 years 7 months),United Kingdom,Unknown,Overseas Aviation,Taxi (TXI),?,Netherlands,Vickers 639 Viking 1,NA,,0,0,3,0,0,3
Damaged beyond repair,NA,Friday 19 February 1960,1960,,Russia,Unknown,"Aeroflot, Yakutsk Civil Aviation Directorate",Unknown (UNK),?,?,Antonov 2,NA,,,,,,,
Damaged beyond repair,NA,Saturday 20 February 1960,1960,1959,Argentina,Training,Aerolineas Argentinas,Landing (LDG),Argentina,Argentina,de Havilland DH-106 Comet 4,NA,Final,0,0,6,0,0,6
Damaged beyond repair,NA,Monday 22 February 1960,1960,1955,United States of America,Ferry/positioning,Alaska Airlines,Approach (APR),United States of America,United States of America,Douglas C-118A,NA,,0,0,4,0,0,4
Damaged beyond repair,NA,Thursday 25 February 1960,1960,,Cuba,Military,Fuerza Aérea Revolucionaria,Takeoff (TOF),Cuba,?,Douglas DC-3,NA,,,,,,3,3
Damaged beyond repair,NA,Thursday 25 February 1960,1960,1944,Brazil,Domestic Scheduled Passenger,REAL Transportes Aéreos,Approach (APR),Brazil,Brazil,Douglas C-47A-25-DK (DC-3),NA,,4,22,4,22,26,26
Destroyed,Written off (damaged beyond repair),Friday 26 February 1960,1960,1959,Ukraine,Domestic Scheduled Passenger,Aeroflot / Ukraine,Approach (APR),Ukraine,Ukraine,Antonov 10A,109,,8,24,8,25,32,33
Damaged beyond repair,NA,Tuesday 1 March 1960,1960,1949,Maldives,Military,Royal Air Force - RAF,Approach (APR),Sri Lanka,Maldives,Handley Page Hastings C.1,NA,,0,0,6,14,0,20
Substantial,Repaired,Wednesday 2 March 1960,1960,1946-09-30  (13 years 5 months),United Kingdom,Non Scheduled Passenger,Hunting-Clan Air Transport,Landing (LDG),?,United Kingdom,Vickers 639 Viking 1,NA,,0,0,5,2,0,7
Substantial,Repaired,Thursday 3 March 1960,1960,1952,United Kingdom,Scheduled Passenger,BKS Air Transport,Landing (LDG),?,?,Airspeed AS.57 Ambassador 2,NA,,0,0,4,15,0,19
Damaged beyond repair,NA,Saturday 5 March 1960,1960,,Italy,Military,United States Air Force - USAF,En route (ENR),Greece,Italy,Kaiser-Frazer C-119G Flying Boxcar,NA,,0,0,4,14,0,18
Damaged beyond repair,NA,Saturday 5 March 1960,1960,1944,United Kingdom,Non Scheduled Passenger,Don Everall Aviation,Initial climb (ICL),United Kingdom,?,Douglas C-47B-5-DK (DC-3),NA,,0,0,3,28,0,31
Damaged beyond repair,NA,Tuesday 8 March 1960,1960,1958-09-04  (1 year 6 months),United States of America,Military,United States Air Force - USAF,Approach (APR),United States of America,United States of America,Boeing KC-135A-BN Stratotanker,NA,,0,0,7,0,0,7
Damaged beyond repair,NA,Tuesday 8 March 1960,1960,1950,United Kingdom,Unknown,Skyways,Landing (LDG),?,United Kingdom,Handley Page HP.81 Hermes IVA,NA,,0,0,6,0,0,6
Damaged beyond repair,NA,Tuesday 8 March 1960,1960,,Spain,Military,United States Navy,En route (ENR),Italy,Spain,Douglas R5D-3 (DC-4),NA,Preliminary,0,0,,,0,24
Damaged beyond repair,NA,Wednesday 9 March 1960,1960,1958-11-04  (1 year 4 months),Malaysia,Military,Royal Air Force - RAF,Unknown (UNK),?,?,Scottish Aviation Twin Pioneer CC.1,NA,,0,0,,,0,
Damaged beyond repair,NA,Thursday 10 March 1960,1960,1955-06-25  (4 years 9 months),India,Demonstration,Scottish Airlines,Initial climb (ICL),India,India,Scottish Aviation Twin Pioneer 3,NA,,2,0,3,0,2,3
Substantial,Repaired,Monday 14 March 1960,1960,1959-08-06  (7 months),Spain,International Scheduled Passenger,British Overseas Airways Corporation - BOAC,Approach (APR),?,Spain,de Havilland DH-106 Comet 4,NA,Final,0,0,9,23,0,32
Damaged beyond repair,NA,Tuesday 15 March 1960,1960,,Colombia,Passenger,Agencia Interamericana de Aviación - AIDA,Unknown (UNK),Colombia,Colombia,Consolidated PBY-5A Catalina,NA,,2,4,3,10,6,13
Damaged beyond repair,NA,Tuesday 15 March 1960,1960,,Italy,Military,Luftwaffe,En route (ENR),Germany,Italy,Nord 2501D Noratlas,NA,,6,0,6,0,6,6
Damaged beyond repair,NA,Wednesday 16 March 1960,1960,1942,Japan,Domestic Scheduled Passenger,All Nippon Airways - ANA,Taxi (TXI),Japan,Japan,Douglas C-47-DL (DC-3),NA,,1,2,3,30,3,33
Damaged beyond repair,NA,Wednesday 16 March 1960,1960,1944,Italy,Military,United States Air Force - USAF,Unknown (UNK),?,?,Douglas C-47D,NA,,,,,,4,
Damaged beyond repair,NA,Thursday 17 March 1960,1960,1959,United States of America,Domestic Scheduled Passenger,Northwest Orient Airlines,En route (ENR),United States of America,United States of America,Lockheed L-188C Electra,1786,Final,6,57,6,57,63,63
Substantial,Repaired,Friday 18 March 1960,1960,1957-08-31  (2 years 7 months),France,Int'l Non Scheduled Passenger,Transair Ltd.,En route (ENR),United Kingdom,France,Vickers 804 Viscount,NA,,0,0,6,59,0,65
Damaged beyond repair,NA,Saturday 19 March 1960,1960,1945,Colombia,Domestic Scheduled Passenger,Sociedad Aeronautica Medellin - SAM,Approach (APR),Colombia,Colombia,Curtiss C-46A-60-CS Commando,15876,,3,22,4,42,25,46
Damaged beyond repair,NA,Sunday 20 March 1960,1960,1945,Peru,Cargo,Faucett,En route (ENR),Peru,Peru,Douglas C-47B-45-DK (DC-3),NA,,4,0,4,0,4,4
Damaged beyond repair,NA,Wednesday 23 March 1960,1960,,Saudi Arabia,Private,Thomas Kendall,Standing (STD),-,-,Consolidated PBY-5A Catalina,NA,,0,0,,,0,9
Damaged beyond repair,NA,Friday 25 March 1960,1960,,Canada,Cargo,Wheeler Airlines,Approach (APR),?,?,Curtiss C-46A-60-CK Commando,NA,,0,0,2,0,0,2
Damaged beyond repair,NA,Wednesday 30 March 1960,1960,,Atlantic Ocean,Military,United States Air Force - USAF,En route (ENR),Canada,United States of America,Boeing KC-97F-17-BO Stratofreighter,NA,,,,,,2,14
Destroyed,Written off (damaged beyond repair),Wednesday 30 March 1960,1960,1959,Czech Republic,Military,Czechoslovak Air Force,En route (ENR),Czech Republic,Slovakia,Avia 14T,NA,,7,0,7,0,7,7
Damaged beyond repair,NA,Tuesday 5 April 1960,1960,1944,Nicaragua,Domestic Scheduled Passenger,Líneas Aéreas de Nicaragua - LANICA,En route (ENR),Nicaragua,Nicaragua,Curtiss C-46A-40-CU Commando,5650,,1,1,4,14,2,18
Damaged beyond repair,NA,Tuesday 12 April 1960,1960,1941,Brazil,Domestic Scheduled Passenger,NA,Takeoff (TOF),Brazil,Brazil,Douglas C-53 (DC-3),NA,,2,8,3,19,10,22
None,NA,Tuesday 12 April 1960,1960,,United States of America,International Scheduled Passenger,Cubana de Aviación,En route (ENR),Cuba,United States of America,Vickers Viscount,NA,,0,0,3,16,0,19
Damaged beyond repair,NA,Thursday 14 April 1960,1960,,United States of America,Unknown,Expreso Aéreo Interamericano,Takeoff (TOF),United States of America,?,Curtiss C-46A Commando,NA,,0,0,2,2,0,4
Destroyed,Written off (damaged beyond repair),Thursday 14 April 1960,1960,1946,Taiwan,Military,Royal Thai Air Force - RTAF,En route (ENR),Taiwan,Thailand,Douglas DC-4-1009,NA,Preliminary,8,10,8,10,18,18
Damaged beyond repair,NA,Friday 15 April 1960,1960,,United States of America,Military,United States Air Force - USAF,Takeoff (TOF),United States of America,United States of America,Boeing KC-97G-23-BO Stratofreighter,NA,,0,0,10,14,0,24
Damaged beyond repair,NA,Friday 15 April 1960,1960,1944,Germany,Military,United States Air Force - USAF,Approach (APR),?,Germany,Douglas VC-47D,NA,,,,,,,
Damaged beyond repair,NA,Monday 18 April 1960,1960,,Canada,Military,United States Air Force - USAF,Initial climb (ICL),Canada,Portugal,Douglas C-124C Globemaster II,NA,,9,0,9,0,9,9
Damaged beyond repair,NA,Tuesday 19 April 1960,1960,1944,Colombia,Domestic Scheduled Passenger,Lloyd Aéreo Colombiano,Approach (APR),Colombia,Colombia,Curtiss C-46D-10-CU Commando,8289,,6,31,7,44,37,51
Damaged beyond repair,NA,Tuesday 19 April 1960,1960,1958-03-26  (2 years ),Malaysia,Military,Royal Air Force - RAF,Unknown (UNK),?,?,Scottish Aviation Twin Pioneer CC.1,NA,,0,0,,,0,
Substantial,Repaired,Wednesday 20 April 1960,1960,,United States of America,Domestic Scheduled Passenger,Piedmont Airlines,Approach (APR),United States of America,United States of America,Fairchild F-27,NA,Final,0,0,4,36,0,40
Substantial,Repaired,Friday 22 April 1960,1960,,United Kingdom,Domestic Non Scheduled Passenger,Air Condor,Taxi (TXI),United Kingdom,?,Bristol 170 Freighter 2,NA,,0,0,3,44,0,47
Destroyed,Written off (damaged beyond repair),Friday 22 April 1960,1960,1943,Congo (Democratic Republic),Int'l Non Scheduled Passenger,Sobelair,Approach (APR),Egypt,Congo (Democratic Republic),Douglas C-54A-DO (DC-4),30594,Final,7,28,7,28,35,35
Destroyed,Written off (damaged beyond repair),Wednesday 27 April 1960,1960,1958,Russia,Training,"Aeroflot, Uralsk Civil Aviation Directorate",Approach (APR),Russia,Russia,Ilyushin 18A,390,,1,0,5,0,1,5
Damaged beyond repair,NA,Thursday 28 April 1960,1960,1944,Venezuela,Domestic Scheduled Passenger,Linea Aeropostal Venezolana - LAV,Approach (APR),Venezuela,Venezuela,Douglas C-47B-15-DK (DC-3),NA,,3,10,3,10,13,13
Damaged beyond repair,NA,Thursday 28 April 1960,1960,,Brazil,Military,Força Aérea Brasileira - FAB,Standing (STD),-,-,Consolidated C-10A (PBY-5A) Catalina,NA,,0,0,0,0,0,0
Damaged beyond repair,NA,Tuesday 3 May 1960,1960,,Puerto Rico,Ferry/positioning,Navegação Aérea Brasileira - NAB,Approach (APR),United States of America,Puerto Rico,Curtiss C-46A-55-CK Commando,NA,,5,0,5,0,5,5
Damaged beyond repair,NA,Sunday 15 May 1960,1960,1946,Sudan,Ferry/positioning,Balair,En route (ENR),Sudan,Niger,Douglas DC-4-1009,NA,,12,0,12,0,12,12
Damaged beyond repair,NA,Tuesday 17 May 1960,1960,,Argentina,Cargo,Transamerican Air Transport,En route (ENR),Argentina,Chile,Curtiss C-46F-1-CU Commando,NA,,3,5,3,5,8,8
Substantial,Repaired,Thursday 19 May 1960,1960,1960,France,International Scheduled Passenger,Air Algérie,Approach (APR),Algeria,France,Sud Aviation SE-210 Caravelle IA,315,Final,0,1,7,32,1,39
Damaged beyond repair,NA,Thursday 19 May 1960,1960,,Panama,Unknown,Linea Expresa Bolivar - LEBCA,Landing (LDG),?,Panama,Curtiss C-46A-55-CK Commando,NA,,0,0,,,0,
Damaged beyond repair,NA,Saturday 21 May 1960,1960,,Bolivia,Unknown,Compañia Boliviana de Aviacion,Unknown (UNK),?,?,Consolidated C-87 Liberator Express,NA,,,,,,,
Damaged beyond repair,NA,Monday 23 May 1960,1960,1960,United States of America,Training,Delta Air Lines,Initial climb (ICL),United States of America,United States of America,Convair CV-880-22-1,NA,,4,0,4,0,4,4
Damaged beyond repair,NA,Friday 27 May 1960,1960,1944,Iran,Unknown,Air Liban,Takeoff (TOF),Iran,?,Avro 685 York C.1,NA,,0,0,,,0,
Damaged beyond repair,NA,Sunday 29 May 1960,1960,1946,France,Int'l Non Scheduled Passenger,Air Safaris,Landing (LDG),?,France,Vickers 498 Viking 1A,NA,,0,0,3,27,0,30
Damaged beyond repair,NA,Tuesday 31 May 1960,1960,,Germany,Military,Luftstreitkräfte der NVA,Unknown (UNK),?,?,Antonov 2T,NA,,,,,,,
Damaged beyond repair,NA,Friday 10 June 1960,1960,1957,Georgia,Domestic Scheduled Passenger,"Aeroflot, North Kavkaz Civil Aviation Directorate",En route (ENR),Russia,Georgia,Ilyushin 14P,5423,,6,25,6,25,31,31
Damaged beyond repair,NA,Friday 10 June 1960,1960,1959,Australia,Domestic Scheduled Passenger,Trans Australia Airlines - TAA,Approach (APR),Australia,Australia,Fokker F-27 Friendship 100,2420,Final,4,25,4,25,29,29
Damaged beyond repair,NA,Friday 17 June 1960,1960,1949-04-06  (11 years 3 months),Yemen,Military,Royal Air Force - RAF,Landing (LDG),?,Yemen,Vickers Valetta C.1,NA,,0,0,,,0,
Damaged beyond repair,NA,Sunday 19 June 1960,1960,,Suriname,Military,United States Air Force - USAF,Approach (APR),United States of America,Suriname,Douglas C-124C Globemaster II,NA,,3,0,7,0,3,7
Damaged beyond repair,NA,Friday 24 June 1960,1960,1954,Brazil,Domestic Scheduled Passenger,REAL Transportes Aéreos,Approach (APR),Brazil,Brazil,Convair CV-340-62,NA,,5,49,5,49,54,54
Damaged beyond repair,NA,Saturday 25 June 1960,1960,,Costa Rica,Domestic Scheduled Passenger,Lineas Aéreas Costarricenses - LACSA,Initial climb (ICL),Costa Rica,Costa Rica,Douglas C-47,NA,,0,1,3,12,1,15
Damaged beyond repair,NA,Monday 27 June 1960,1960,,United States of America,Military,United States Air Force - USAF,En route (ENR),United States of America,United States of America,Boeing KC-97G-28-BO Stratotanker,NA,,5,0,5,0,5,5
None,NA,Tuesday 5 July 1960,1960,,United States of America,International Scheduled Passenger,Cubana de Aviación,En route (ENR),Spain,Cuba,Bristol 175 Britannia 318,NA,,0,0,9,31,0,40
Substantial,Repaired,Wednesday 6 July 1960,1960,,United Kingdom,Scheduled Passenger,Silver City Airways,Taxi (TXI),?,?,Bristol 170 Freighter 21,NA,,0,0,3,44,0,47
Damaged beyond repair,NA,Thursday 7 July 1960,1960,1952,United Kingdom,Military,Royal Air Force - RAF,Unknown (UNK),United Kingdom,?,Vickers Varsity T.1,NA,,,,,,6,6
Missing,Presumed damaged beyond repair,Sunday 10 July 1960,1960,1942,United Arab Emirates,International Scheduled Passenger,Gulf Aviation,En route (ENR),Qatar,United Arab Emirates,Douglas C-47-DL (DC-3),NA,,3,13,3,13,16,16
Damaged beyond repair,NA,Monday 11 July 1960,1960,1945,Ecuador,Int'l Non Scheduled Passenger,US Mission,En route (ENR),Colombia,Ecuador,Douglas C-47E,NA,,,,,,18,18
Damaged beyond repair,NA,Thursday 14 July 1960,1960,1958,Philippines,International Scheduled Passenger,Northwest Orient Airlines,En route (ENR),Japan,Philippines,Douglas DC-7C,9233,Final,0,1,7,51,1,58
Damaged beyond repair,NA,Thursday 14 July 1960,1960,1943,Philippines,Domestic Scheduled Passenger,Philippine Air Lines,En route (ENR),Philippines,Philippines,Douglas C-47A-DL (DC-3),NA,,0,0,3,28,0,31
Damaged beyond repair,NA,Friday 15 July 1960,1960,1944,Ethiopia,Domestic Scheduled Passenger,Ethiopian Air Lines,En route (ENR),Ethiopia,Ethiopia,Douglas C-47A-20-DK (DC-3),13674,,1,0,3,8,1,11
None,NA,Sunday 17 July 1960,1960,,Jamaica,International Scheduled Passenger,Cubana de Aviación,En route (ENR),Cuba,United States of America,Vickers Viscount,NA,,0,0,4,52,0,56
Damaged beyond repair,NA,Monday 18 July 1960,1960,1944,Unknown country,Military,United States Air Force - USAF,Unknown (UNK),?,?,Douglas C-47A-90-DL (DC-3),NA,,,,,,,
Minor,NA,Tuesday 19 July 1960,1960,,Australia,Domestic Scheduled Passenger,Trans Australia Airlines - TAA,En route (ENR),Australia,Australia,Lockheed L-188 Electra,NA,,0,0,,43,0,
Damaged beyond repair,NA,Tuesday 19 July 1960,1960,1952,Congo (Democratic Republic),Military,Belgische Luchtmacht,En route (ENR),?,?,Fairchild C-119G Flying Boxcar,NA,,3,36,3,40,39,43
Damaged beyond repair,NA,Wednesday 20 July 1960,1960,1957,Russia,Domestic Scheduled Passenger,"Aeroflot, Komi Civil Aviation Directorate",En route (ENR),Russia,Russia,Ilyushin 14M,NA,,4,19,4,19,23,23
Damaged beyond repair,NA,Friday 22 July 1960,1960,1957,Germany,Military,Volksarmee,Unknown (UNK),Germany,Germany,VEB-14P,NA,,6,0,6,0,6,6
None,NA,Thursday 28 July 1960,1960,,United States of America,Domestic Scheduled Passenger,Cubana de Aviación,Unknown (UNK),?,Cuba,Douglas DC-3,NA,,0,0,3,11,0,14
Damaged beyond repair,NA,Sunday 31 July 1960,1960,1948,Italy,Int'l Non Scheduled Passenger,Deutsche Flugdienst,Approach (APR),Germany,Italy,Convair CV-240-4,NA,,0,1,4,30,1,34
Damaged beyond repair,NA,Monday 1 August 1960,1960,1943,Bolivia,Domestic Non Scheduled Passenger,Transporte Aéreo Militar - TAM,Unknown (UNK),Bolivia,Bolivia,Douglas C-47-DL (DC-3),NA,,2,4,2,4,6,6
Damaged beyond repair,NA,Monday 15 August 1960,1960,1954,Brazil,Unknown,VASP - Viação Aérea São Paulo,Landing (LDG),Brazil,Brazil,SAAB Scandia 90A-2,NA,,0,0,,,0,
Destroyed,Written off (damaged beyond repair),Wednesday 17 August 1960,1960,1959,Ukraine,International Scheduled Passenger,"Aeroflot, Moscow Civil Aviation Directorate",En route (ENR),Egypt,Russia,Ilyushin 18B,NA,,7,27,7,27,34,34
Damaged beyond repair,NA,Saturday 20 August 1960,1960,,Canada,Unknown,Aerial Photography Co. Ltd.,En route (ENR),?,?,Lockheed 18-56A Lodestar,NA,,0,0,,,0,
Unknown,NA,Sunday 21 August 1960,1960,,Russia,Unknown,Aeroflot,Unknown (UNK),?,?,unknown,NA,,1,0,,,1,
Substantial,Repaired,Monday 22 August 1960,1960,1958-07-27  (2 years ),Egypt,International Scheduled Passenger,British Overseas Airways Corporation - BOAC,Takeoff (TOF),Egypt,?,de Havilland DH-106 Comet 4,NA,Final,0,0,8,52,0,60
Damaged beyond repair,NA,Tuesday 23 August 1960,1960,1945,Morocco,Military,United States Navy,Unknown (UNK),?,?,Douglas R5D-3 (DC-4),NA,,,,,,,
Damaged beyond repair,NA,Wednesday 24 August 1960,1960,1944,Brazil,Unknown,Paraense Transportes Aéreos,Unknown (UNK),Brazil,Brazil,Curtiss C-46A-40-CU Commando,NA,,0,0,3,0,0,3
Damaged beyond repair,NA,Wednesday 24 August 1960,1960,1955,Mauritius,International Scheduled Passenger,Qantas,Takeoff (TOF),Mauritius,Cocos (Keeling) Islands,Lockheed L-1049G Super Constellation,NA,,0,0,12,38,0,50
Damaged beyond repair,NA,Wednesday 24 August 1960,1960,1947,Greece,Cargo,Don Everall Aviation,Initial climb (ICL),Greece,Egypt,Vickers 634 Viking 1B,NA,,3,0,3,0,3,3
Damaged beyond repair,NA,Wednesday 24 August 1960,1960,,Bolivia,Ferry/positioning,Dirección de Aeronáutica Civil - DAC,En route (ENR),?,?,Fairchild C-82 Packet,NA,,,,,,,
Substantial,Repaired,Thursday 25 August 1960,1960,1955-08-06  (5 years ),Lebanon,Test,Kuwait Airways,En route (ENR),?,?,Vickers 702 Viscount,NA,,0,0,4,0,0,4
Damaged beyond repair,NA,Thursday 25 August 1960,1960,,Poland,Survey/research,LOT Polskie Linie Lotnicze,En route (ENR),?,?,Lisunov Li-2P,NA,,1,5,,,6,
Damaged beyond repair,NA,Sunday 28 August 1960,1960,,India,Military,Indian Air Force - IAF,Unknown (UNK),?,?,Douglas C-47,NA,,,,,,,
Damaged beyond repair,NA,Monday 29 August 1960,1960,1955,Senegal,International Scheduled Passenger,Air France,Approach (APR),France,Senegal,Lockheed L-1049G Super Constellation,16417,Final,8,55,8,55,63,63
Damaged beyond repair,NA,Thursday 1 September 1960,1960,1947,Congo (Democratic Republic),Cargo,Syrian Airways,En route (ENR),Ghana,Congo (Democratic Republic),Douglas DC-4-1009,NA,,0,0,5,9,0,14
Damaged beyond repair,NA,Friday 2 September 1960,1960,,Russia,Domestic Non Scheduled Passenger,Aeroflot / Polar,En route (ENR),Russia,Russia,Ilyushin 14,NA,,5,13,5,13,18,18
Damaged beyond repair,NA,Wednesday 7 September 1960,1960,1948,Uruguay,International Scheduled Passenger,Aerolineas Argentinas,En route (ENR),Paraguay,Argentina,Douglas DC-6,19229,Final,6,25,6,25,31,31
Damaged beyond repair,NA,Sunday 11 September 1960,1960,,United States of America,Military,United States Air Force - USAF,En route (ENR),United States of America,?,Fairchild C-123B-13-FA Provider,NA,Final,6,3,6,3,9,9
Damaged beyond repair,NA,Friday 16 September 1960,1960,1954,Algeria,Military,L'Armée de L'Air,En route (ENR),?,?,Nord 2501F Noratlas,NA,,11,0,11,0,11,11
Substantial,Repaired,Saturday 17 September 1960,1960,1957-01-10  (3 years 8 months),United Kingdom,Domestic Scheduled Passenger,British European Airways - BEA,Landing (LDG),?,United Kingdom,Vickers 802 Viscount,NA,Final,0,0,3,71,0,74
Damaged beyond repair,NA,Monday 19 September 1960,1960,1956,Guam,Domestic Non Scheduled Passenger,World Airways,En route (ENR),Guam,U.S. Minor Outlying Islands,Douglas DC-6A/B,12746,,7,73,8,86,80,94
Damaged beyond repair,NA,Thursday 22 September 1960,1960,1944,Brazil,Cargo,Paraense Transportes Aéreos,Initial climb (ICL),Brazil,Brazil,Curtiss C-46A-40-CU Commando,NA,,4,2,4,2,6,6
Damaged beyond repair,NA,Thursday 22 September 1960,1960,1945,Pacific Ocean,Military,United States Marine Corps,En route (ENR),Japan,Philippines,Douglas R5D-3 (DC-4),NA,,3,26,3,26,29,29
Damaged beyond repair,NA,Monday 26 September 1960,1960,1960,Russia,International Scheduled Passenger,Austrian Airlines,Approach (APR),Poland,Russia,Vickers 837 Viscount,1273,Final,5,26,6,31,31,37
Damaged beyond repair,NA,Wednesday 28 September 1960,1960,1942,Mexico,Domestic Scheduled Passenger,Mexicana de Aviación,Unknown (UNK),Mexico,Mexico,Douglas C-53-DO (DC-3),NA,,3,5,3,15,8,18
Destroyed,Written off (damaged beyond repair),Thursday 29 September 1960,1960,1960,Mediterranean Sea,International Scheduled Passenger,United Arab Airlines - UAA,En route (ENR),Switzerland,Italy,Vickers 739B Viscount,NA,,4,17,4,17,21,21
Damaged beyond repair,NA,Thursday 29 September 1960,1960,1945,Unknown country,Military,United States Air Force - USAF,Unknown (UNK),?,?,Douglas AC-47D Spooky (DC-3),NA,,,,,,,
Damaged beyond repair,NA,Friday 30 September 1960,1960,,United States of America,Military,United States Army,En route (ENR),United States of America,United States of America,de Havilland Canada U-1A Otter (DHC-3),NA,,2,4,2,4,6,6
Substantial,Repaired,Saturday 1 October 1960,1960,,United States of America,Domestic Scheduled Passenger,Eastern Air Lines,Approach (APR),United States of America,United States of America,Martin 4-0-4,NA,Final,0,0,3,24,0,27
Damaged beyond repair,NA,Tuesday 4 October 1960,1960,1959,United States of America,Domestic Scheduled Passenger,Eastern Air Lines,Initial climb (ICL),United States of America,United States of America,Lockheed L-188A Electra,NA,Final,3,59,5,67,62,72
Minor,Repaired,Tuesday 4 October 1960,1960,,United States of America,Cargo,Capitol Airways,Approach (APR),?,United States of America,Curtiss C-46F-1-CU Commando,NA,,0,0,2,0,0,2
Damaged beyond repair,NA,Saturday 8 October 1960,1960,,Romania,Unknown,Tarom,Unknown (UNK),?,?,Lisunov Li-2,NA,,,,,,,
Damaged beyond repair,NA,Sunday 9 October 1960,1960,1949,United Kingdom,Int'l Non Scheduled Passenger,Falcon Airways,Landing (LDG),Spain,United Kingdom,Handley Page HP.81 Hermes IV,17183,,0,0,5,71,0,76
Damaged beyond repair,NA,Tuesday 11 October 1960,1960,1957-09-11  (3 years 1 months),Yemen,Military,Royal Air Force - RAF,Unknown (UNK),?,?,Blackburn Beverley C.1,NA,,7,0,7,0,7,7
Damaged beyond repair,NA,Friday 14 October 1960,1960,1955,Italy,Domestic Scheduled Passenger,Itavia,En route (ENR),Italy,Italy,de Havilland DH-114 Heron 2,NA,,4,7,4,7,11,11
Damaged beyond repair,NA,Saturday 15 October 1960,1960,,United States of America,Cargo,Capitol Airways,Approach (APR),United States of America,United States of America,Curtiss C-46F-1-CU Commando,NA,,2,0,2,0,2,2
